name,pop_2018_5_yr
Alabama,4864680
Alaska,738516
Arizona,6946685
Arkansas,2990671
California,39148760
Colorado,5531141
Connecticut,3581504
Delaware,949495
District of Columbia,684498
Florida,20598139
Georgia,10297484
Hawaii,1422029
Idaho,1687809
Illinois,12821497
Indiana,6637426
Iowa,3132499
Kansas,2908776
Kentucky,4440204
Louisiana,4663616
Maine,1332813
Maryland,6003435
Massachusetts,6830193
Michigan,9957488
Minnesota,5527358
Mississippi,2988762
Missouri,6090062
Montana,1041732
Nebraska,1904760
Nevada,2922849
New Hampshire,1343622
New Jersey,8881845
New Mexico,2092434
New York,19618453
North Carolina,10155624
North Dakota,752201
Ohio,11641879
Oklahoma,3918137
Oregon,4081943
Pennsylvania,12791181
Puerto Rico,3386941
Rhode Island,1056611
South Carolina,4955925
South Dakota,864289
Tennessee,6651089
Texas,27885195
Utah,3045350
Vermont,624977
Virginia,8413774
Washington,7294336
West Virginia,1829054
Wisconsin,5778394
Wyoming,581836
